"year","index","metric","timeseries"
2004,0.099166834243608,"Salmon Node Strength","Puget Sound"
2004,0.015937339058649,"Salmon Importance","Puget Sound"
2004,0.536204268815711,"Non-DTS groundfish Node Strength","Puget Sound"
2004,0.9884658196354,"Non-DTS groundfish Importance","Puget Sound"
2004,0.607883350957464,"Non-DTS groundfish Node Strength","North WA Coast"
2004,0.907809356158409,"Non-DTS groundfish Importance","North WA Coast"
2004,0.119312679106569,"Salmon Node Strength","North WA Coast"
2004,0.157421059833303,"Salmon Importance","North WA Coast"
2004,0.102697338064198,"Salmon Node Strength","WA Coast"
2004,0.125297856410948,"Salmon Importance","WA Coast"
2004,0.482353561251397,"Non-DTS groundfish Node Strength","Astoria"
2004,0.9446214492137,"Non-DTS groundfish Importance","Astoria"
2004,0.0338660714682974,"Salmon Node Strength","Astoria"
2004,0.014547124813473,"Salmon Importance","Astoria"
2004,0.594986949804627,"Salmon Node Strength","Tillamook"
2004,0.83750371538682,"Salmon Importance","Tillamook"
2004,0.0952799141188133,"Non-DTS groundfish Node Strength","Tillamook"
2004,0.140011008150763,"Non-DTS groundfish Importance","Tillamook"
2004,0.214506901093196,"Salmon Node Strength","Newport"
2004,0.377731107657573,"Salmon Importance","Newport"
2004,0.273414677436889,"Salmon Node Strength","Coos Bay"
2004,0.335462477493788,"Salmon Importance","Coos Bay"
2004,0.236295598369618,"Salmon Node Strength","Brookings"
2004,0.39694658924742,"Salmon Importance","Brookings"
2004,0.203723343141245,"Non-DTS groundfish Node Strength","Brookings"
2004,0.321801749218727,"Non-DTS groundfish Importance","Brookings"
2004,0.48695166139276,"Non-DTS groundfish Node Strength","Crescent City"
2004,0.686879159221744,"Non-DTS groundfish Importance","Crescent City"
2004,0.552072372173171,"Non-DTS groundfish Node Strength","Morro Bay"
2004,0.93248923465097,"Non-DTS groundfish Importance","Morro Bay"
2004,0.610043523519557,"Salmon Node Strength","Morro Bay"
2004,1,"Salmon Importance","Morro Bay"
2004,0.324229452335822,"Salmon Node Strength","Fort Bragg"
2004,0.593662472281873,"Salmon Importance","Fort Bragg"
2004,0.282338685271573,"Non-DTS groundfish Node Strength","Fort Bragg"
2004,0.484023496025445,"Non-DTS groundfish Importance","Fort Bragg"
2004,0.995295674799031,"Salmon Node Strength","Bodega Bay"
2004,1,"Salmon Importance","Bodega Bay"
2004,0.00222447008182471,"Non-DTS groundfish Node Strength","Bodega Bay"
2004,6.11948704770301e-06,"Non-DTS groundfish Importance","Bodega Bay"
2004,0.582547914682398,"Salmon Node Strength","San Francisco"
2004,0.979973676466556,"Salmon Importance","San Francisco"
2004,0.228590639673484,"Non-DTS groundfish Node Strength","San Francisco"
2004,0.161080693694264,"Non-DTS groundfish Importance","San Francisco"
2004,0.418259507570846,"Salmon Node Strength","Monterey"
2004,0.88341133443739,"Salmon Importance","Monterey"
2004,0.267093583126657,"Non-DTS groundfish Node Strength","Monterey"
2004,0.700047168135825,"Non-DTS groundfish Importance","Monterey"
2004,0.0285800178526703,"Non-DTS groundfish Node Strength","Los Angeles"
2004,0.00054670290074801,"Non-DTS groundfish Importance","Los Angeles"
2005,0.506547929696891,"Salmon Node Strength","Puget Sound"
2005,0.844597731268851,"Salmon Importance","Puget Sound"
2005,0.571239213581872,"Salmon Node Strength","North WA Coast"
2005,1,"Salmon Importance","North WA Coast"
2005,0.0945126287479749,"Salmon Node Strength","WA Coast"
2005,0.0917183175915292,"Salmon Importance","WA Coast"
2005,0.474818685187003,"Non-DTS groundfish Node Strength","Astoria"
2005,0.928855096099202,"Non-DTS groundfish Importance","Astoria"
2005,0.0432095162020523,"Salmon Node Strength","Astoria"
2005,0.0240146884238435,"Salmon Importance","Astoria"
2005,0.428367095179695,"Salmon Node Strength","Tillamook"
2005,0.779585868077836,"Salmon Importance","Tillamook"
2005,0.107404172481481,"Non-DTS groundfish Node Strength","Tillamook"
2005,0.207233055490543,"Non-DTS groundfish Importance","Tillamook"
2005,0.102781100220882,"Salmon Node Strength","Newport"
2005,0.1364110114288,"Salmon Importance","Newport"
2005,0.0519335665107425,"Salmon Node Strength","Coos Bay"
2005,0.0818393774454963,"Salmon Importance","Coos Bay"
