"year","index","metric","timeseries"
2004,0.272727272727273,"edge density","Puget Sound"
2004,0.523809523809524,"edge density","North WA Coast"
2004,0.785714285714286,"edge density","WA Coast"
2004,0.638888888888889,"edge density","Astoria"
2004,0.533333333333333,"edge density","Tillamook"
2004,0.464285714285714,"edge density","Newport"
2004,0.476190476190476,"edge density","Coos Bay"
2004,0.6,"edge density","Brookings"
2004,1,"edge density","Crescent City"
2004,0.533333333333333,"edge density","Eureka"
2004,0.428571428571429,"edge density","Morro Bay"
2004,0.9,"edge density","Fort Bragg"
2004,0.285714285714286,"edge density","Bodega Bay"
2004,0.472222222222222,"edge density","San Francisco"
2004,0.619047619047619,"edge density","San Diego"
2004,0.555555555555556,"edge density","Monterey"
2004,0.714285714285714,"edge density","Santa Barbara"
2004,0.733333333333333,"edge density","Los Angeles"
2005,0.277777777777778,"edge density","Puget Sound"
2005,0.380952380952381,"edge density","North WA Coast"
2005,0.642857142857143,"edge density","WA Coast"
2005,0.607142857142857,"edge density","Astoria"
2005,0.8,"edge density","Tillamook"
2005,0.8,"edge density","Newport"
2005,0.761904761904762,"edge density","Coos Bay"
2005,1,"edge density","Brookings"
2005,1,"edge density","Crescent City"
2005,0.833333333333333,"edge density","Eureka"
2005,0.666666666666667,"edge density","Morro Bay"
2005,0.761904761904762,"edge density","Fort Bragg"
2005,0.266666666666667,"edge density","Bodega Bay"
2005,0.555555555555556,"edge density","San Francisco"
2005,0.533333333333333,"edge density","San Diego"
2005,0.644444444444444,"edge density","Monterey"
2005,0.535714285714286,"edge density","Santa Barbara"
2005,0.619047619047619,"edge density","Los Angeles"
2006,0.25,"edge density","Puget Sound"
2006,0.428571428571429,"edge density","North WA Coast"
2006,0.809523809523809,"edge density","WA Coast"
2006,0.571428571428571,"edge density","Astoria"
2006,0.666666666666667,"edge density","Tillamook"
2006,0.866666666666667,"edge density","Newport"
2006,0.904761904761905,"edge density","Coos Bay"
2006,0.8,"edge density","Brookings"
2006,0.666666666666667,"edge density","Crescent City"
2006,0.933333333333333,"edge density","Eureka"
2006,0.8,"edge density","Morro Bay"
2006,1,"edge density","Fort Bragg"
2006,0.4,"edge density","Bodega Bay"
2006,0.571428571428571,"edge density","San Francisco"
2006,0.733333333333333,"edge density","San Diego"
2006,0.577777777777778,"edge density","Monterey"
2006,0.857142857142857,"edge density","Santa Barbara"
2006,0.666666666666667,"edge density","Los Angeles"
2007,0.305555555555556,"edge density","Puget Sound"
2007,0.533333333333333,"edge density","North WA Coast"
2007,0.857142857142857,"edge density","WA Coast"
2007,0.666666666666667,"edge density","Astoria"
2007,0.5,"edge density","Tillamook"
2007,0.523809523809524,"edge density","Newport"
2007,0.619047619047619,"edge density","Coos Bay"
2007,0.571428571428571,"edge density","Brookings"
2007,0.666666666666667,"edge density","Crescent City"
2007,0.666666666666667,"edge density","Eureka"
2007,0.733333333333333,"edge density","Morro Bay"
