"y","N","E","avg_ew","sd_ew","med_ew","max_ew","avg_ew_scaled","sd_ew_scaled","med_ew_scaled","deg_max","deg_min","strength_mean","assort","ed","ld","mean_deg","nc","nc_weighted","m","m_weighted","beta_eff","pcgroup"
2004,10,9,24332.3276224256,23722.73971819,14156.4646158865,64757.0879227073,0.111111111111111,0.108327489650372,0.0646440627170661,0.444444444444444,0,0.2,-0.384615384615383,0.2,0.9,1.8,0.305555555555556,0.254275060918848,0.444444444444444,0.374057926312914,47460.7511941319,"Puget Sound"
2004,6,2,7779.12473548203,9471.82479123011,7779.12473548203,14476.7162755717,0.5,0.608797590558445,0.5,0.4,0,0.333333333333333,-1,0.133333333333333,0.333333333333333,0.666666666666667,0.4,0.3,0,0,19311.9729576673,"North WA Coast"
2004,9,19,36743.2783966881,62755.4490102684,7705.00426271634,208297.998680369,0.0526315789473684,0.0898917710418351,0.0110367544170886,0.875,0.25,0.222222222222222,-0.533333333333334,0.527777777777778,2.11111111111111,4.22222222222222,0.446428571428571,0.355674034220322,0.126038781163435,0.215305285870684,143926.049023802,"WA Coast"
2004,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"Other Coastal Washington"
2004,9,24,51521.1828272096,98635.7470899045,6481.94950788713,454338.35465516,0.0416666666666667,0.0797695737925137,0.0052421395370733,1,0.5,0.222222222222222,-0.388029589778078,0.666666666666667,2.66666666666667,5.33333333333333,0.428571428571429,0.269293532473133,0.00954861111111114,0.158559240201222,240356.338972838,"Astoria"
2004,8,11,7808.30692341078,12635.3251479933,2743.52272897397,44003.5734493507,0.0909090909090909,0.147108193083564,0.0319417717087516,0.714285714285714,0.142857142857143,0.25,-0.320000000000001,0.392857142857143,1.375,2.75,0.428571428571429,0.385698610530471,0.0619834710743801,0.207337126039792,28254.6652904014,"Tillamook"
2004,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,0,2.22044604925031e-16,NA,"Columbia River"
2004,6,9,252786.450824774,378451.363246544,73067.8510174124,955365.951186974,0.111111111111111,0.166346540072222,0.0321166347585357,0.8,0,0.333333333333333,-0.499999999999988,0.6,1.5,3,0.3,0.143109052876564,-0.0802469135802468,0.380022695257819,819373.12457988,"Newport"
2004,7,15,88599.2361347481,221870.147643926,32157.5270216349,886098.013483127,0.0666666666666667,0.166946621907281,0.024196993431356,1,0.5,0.285714285714286,-0.271186440677963,0.714285714285714,2.14285714285714,4.28571428571429,0.4,0.3856621228603,-0.0888888888888889,0.192303400827402,644206.310903096,"Coos Bay"
2004,7,14,14886.2920481186,27308.4491656716,6857.29734432717,106625.523018544,0.0714285714285714,0.131033537803003,0.0329032207337442,1,0.333333333333333,0.285714285714286,-0.493333333333336,0.666666666666667,2,4,0.466666666666667,0.329543764354105,0.0612244897959184,0.135764784084726,64982.8099333983,"Brookings"
